Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765574402,0,POST,/api/v1/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29
1765574402,0,,Aggregated,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435
1765574403,0,POST,/api/v1/accounts/open-debit-card-account,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2565,0,5600.0,4773.432457331987,354.6146669978043,8302.692834011395,693.8725146198831
1765574403,0,POST,/api/v1/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29
1765574403,0,,Aggregated,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435
1765574404,0,POST,/api/v1/accounts/open-debit-card-account,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2565,0,5600.0,4773.432457331987,354.6146669978043,8302.692834011395,693.8725146198831
1765574404,0,POST,/api/v1/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29
1765574404,0,,Aggregated,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435
1765574405,0,POST,/api/v1/accounts/open-debit-card-account,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2565,0,5600.0,4773.432457331987,354.6146669978043,8302.692834011395,693.8725146198831
1765574405,0,POST,/api/v1/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29
1765574405,0,,Aggregated,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435
1765574406,0,POST,/api/v1/accounts/open-debit-card-account,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2565,0,5600.0,4773.432457331987,354.6146669978043,8302.692834011395,693.8725146198831
1765574406,0,POST,/api/v1/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29
1765574406,0,,Aggregated,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435
1765574407,0,POST,/api/v1/accounts/open-debit-card-account,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2565,0,5600.0,4773.432457331987,354.6146669978043,8302.692834011395,693.8725146198831
1765574407,0,POST,/api/v1/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29
1765574407,0,,Aggregated,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435
1765574408,0,POST,/api/v1/accounts/open-debit-card-account,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2565,0,5600.0,4773.432457331987,354.6146669978043,8302.692834011395,693.8725146198831
1765574408,0,POST,/api/v1/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29
1765574408,0,,Aggregated,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435
1765574409,0,POST,/api/v1/accounts/open-debit-card-account,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2565,0,5600.0,4773.432457331987,354.6146669978043,8302.692834011395,693.8725146198831
1765574409,0,POST,/api/v1/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29
1765574409,0,,Aggregated,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435
1765574410,0,POST,/api/v1/accounts/open-debit-card-account,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2565,0,5600.0,4773.432457331987,354.6146669978043,8302.692834011395,693.8725146198831
1765574410,0,POST,/api/v1/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29
1765574410,0,,Aggregated,42.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435
